Name,,PrepTime,TotalTime,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredient,AggregatedRating,ReviewCount,Calories,FatContent,,,,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions,CookTimeInMinutes
Pumpkin Cake Roll,,PT0S,PT0S,Make and share this Pumpkin Cake Roll recipe from Food.com.,character(0),Dessert,"c(""< 15 Mins"", ""Oven"")","c(""3"", ""1"", ""2/3"", ""1"", ""3/4"", ""1"", ""2"", ""1"", ""1/2"", ""1/2"", ""1"", ""1"", ""6"", ""4"", ""1/2"")","c(""eggs"", ""sugar"", ""canned pumpkin"", ""lemon juice"", ""flour"", ""baking powder"", ""cinmon"", ""ginger"", ""nutmeg"", ""salt"", ""walnuts"", ""confectioners' sugar"", ""cream cheese"", ""butter"", ""vanilla"")",5,13,3385.5,167.9,,,,433.3,18.1,328.4,61.6,1,1,"c(""Beat eggs for 5 minutes."", ""Gradually beat in sugar, pumpkin and lemon juice. In separate bowl mix flour, baking powder, spices and salt. Fold  into pumpkin mixture. Spread in prepared jellyroll pan."", ""Top with walnuts."", ""Bake at 375'F for 15 minutes."", ""Turn cake out onto towel sprinkle with  confectioners' sugar and roll up \""jellyroll\"" fashion."", ""Cool."", ""Prepare filling,  beating all ingredients until creamy."", ""Unroll the cake and spread filling and   re-roll; chill."")",0
Pumpkin Ice Cream Roll,,PT0S,PT0S,Make and share this Pumpkin Ice Cream Roll recipe from Food.com.,character(0),Frozen Desserts,"c(""Dessert"", ""< 15 Mins"", ""Oven"")","c(""3/4"", ""2"", ""1"", ""1"", ""3"", ""1"", ""2/3"", , ""1"", , )","c(""all-purpose flour"", ""pumpkin pie spice"", ""baking powder"", ""salt"", ""eggs"", ""sugar"", ""pumpkin"", ""confectioners' sugar"", ""butter pecan ice cream"", ""pecans"")",4.63201371,0,137,1.6,,,,28.1,0.3,20.2,3,1,1,"c(""In a small bowl, combine fl  our, pumpkin pie spice, baking powder and salt.  In a mixing bowl, beat eggs at high speed for 5 minutes or until pale  yellow."", ""Gradually beat in sugar."", ""Stir in pumpkin."", ""Fold in dry ingredients."", ""Line a 15x1Ox1 inch baking pan with greased and floured wax paper."", ""Pour  batter into pan; bake at 375'F for 15 minutes."", ""Turn cake out onto a linen  towel sprinkled with confectioners' sugar."", ""Peel off paper; roll up cake with  towel."", ""Cool on a wire rack."", 
""Unroll cake onto a baking sheet. Spread softened  ice cream to within 1 in. of edges."", ""Roll up cake again, without the towel."", ""Cover and freeze. To serve, let stand a few minutes at room temperature  before slicing."", ""If desired, dust cake with confectioners' sugar and top with  the whipped cream and pecans."")",0
Crustless Sugar-Free Pumpkin Pie Diabetic,,PT15M,PT1H10M,Make and share this Crustless Sugar-Free Pumpkin Pie Diabetic recipe from Food.com.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/63/yVKSY4CUQ2KtpYDP88OD_78372188_10220144981925926_3943799014553550848_o.jpg""",Pie,"c(""Dessert"", ""Thanksgiving"", ""Oven"", ""< 4 Hours"")","c(""1"", ""1"", ""1/2"", ""2"", ""3/4"", ""1"", ""1/4"", ""1/4"", ""1/8"", ""1/2"", , )","c(""pumpkin"", ""egg substitute"", ""artificial sweetener"", ""cinmon"", ""allspice"", ""ginger"", ""salt"", ""reduced-fat graham cracker crumbs"", ""cinmon"")",5,2,65.6,0.7,,,,8.8,0.4,5.7,6.5,8,1,"c(""In a mixing bowl, combine the pumpkin, milk, egg substitute, egg whites and  sweetener, beat until smooth."", ""Add the spices and salt, beat until well  mixed."", ""Stir in graham cracker crumbs."", ""Pour into a 9-in. pie plate that has  been coated with nonstick cooking spray."", ""Bake at 325°F for 50-55 minutes or  until a knife inserted near the center comes out clean."", ""Cool."", ""If desired,  garnish with a dollop of whipped topping and sprinkling of cinmon."", ""Store  in the refrigerator."", ""Sweet 'N Low or Sweet One are recommended for baking.""
)",55
Pumpkin Chocolate Chip Muffins,,PT10M,PT30M,"Everyone I have ever served these to rants about them. I have made some modifications to make them a little healthier. That recipe is Recipe #2509. Either way though, we love them. (Recipe updated to add vanilla, more cinmon and reduce oil slightly (origil calls for 1 1/2 cups oil) since we prefer them with these alterations.)","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/picA15Ylc.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/3564/fEq7smVzQLC5RhhBPwM9_IMG_20170826_171739.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/xG6i4nIXRkWBfeDmQjXp_IMG_9017.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/01479576061.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/01479576051.jpeg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/01479576061.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/77YwawpoQESNeFMl3XGh-photo.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/picwpUVlb.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/picvrJ5Rz.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/picltLptr.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/picJQPma7.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/picOU16rM.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/picGSXsNg.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/picRcN7ZT.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/eRJIOMlXSqOHjorEErMf_IMG_20170826_171918.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/64/01479576051.jpeg"")",Quick Breads,"c(""Breads"", ""< 30 Mins"", ""Oven"")","c(""4"", ""2"", ""1"", ""1"", ""1 1/4"", ""3"", ""2"", ""2"", ""2"", ""1"", ""12"")","c(""eggs"", ""sugar"", ""pumpkin"", ""vanilla extract"", ""flour"", ""baking soda"", ""baking powder"", ""cinmon"", ""salt"")",5,151,246.4,13.3,,,,31.4,1.2,19.8,2.8,1,1,"c(""In large mixing bowl beat eggs, sugar, pumpkin, vanilla and oil until smooth."", ""Mix dry ingredients together and mix into pumpkin mixture. Fold in chocolate chips."", ""Fill greased or paper-lined muffin cups 3/4 full."", ""Bake at 400 F for 16-20 minutes."", ""Let cool before taking out of pan."")",20
Walnut Pumpkin Pie,,PT15M,PT55M,"A slightly different pumpkin pie as it has a crumb topping. Prep time does not include making a homemade pie crust. (Response to review, cutting in the butter is a technique to incorporate the butter into a dry mixture using a pastry blender or two knives. HTH!)","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/65/picodHt6v.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/65/picSqVNvG.jpg"")",Pie,"c(""Dessert"", ""Fruit"", ""Vegetable"", ""Nuts"", ""Thanksgiving"", ""< 60 Mins"", ""Oven"")","c(""1"", ""1"", ""1"", ""1"", ""3/4"", ""1/2"", ""1/2"", ""1/2"", ""1/4"", ""2"", ""1/2"", ""2"", ""3/4"")","c(""pumpkin"", ""sweetened condensed milk"", ""egg"", ""ground cinmon"", ""ground ginger"", ""nutmeg"", ""salt"", ""brown sugar"", ""unsifted flour"", ""cinmon"", ""butter"", ""walnuts"")",4.5,6,428,22.6,,,,50.8,2.1,34.8,8.6,8,1,"c(""Preheat oven to 425°F."", ""In large mixing bowl, combine pumpkin, milk, egg,  3/4 teaspoon cinmon, ginger, nutmeg and salt; mix well. Pour into 9-inch, unbaked pie crust."", ""Bake 15 minutes."", ""Meanwhile, in small bowl, combine sugar, flour  and remaining 1/2 teaspoon cinmon; using a pastry blender, cut in butter (as you would for biscuits) until crumbly. Stir in  walnuts."", ""Reduce oven temperature to 350°F."", ""Sprinkle walnut mixture evenly  over pie."", ""Bake 40 minutes or until knife inserted 1 inch  from edge comes out clean."", 
""Cool. Garnish as desired."", ""Refrigerate leftovers."")",40
Instant Pumpkin Pie,,PT5M,PT4H5M,Make and share this Instant Pumpkin Pie recipe from Food.com.,character(0),Pie,"c(""Dessert"", ""Low Protein"", ""Thanksgiving"")","c(""2"", ""1 1/3"", ""1"", ""1 1/2"", ""4"", ""1"")","c(""instant vanilla pudding"", ""milk"", ""pumpkin"", ""pumpkin pie spice"")",5,4,300,13.6,,,,42,0.5,28.5,3.6,8,1,"c(""Add pudding mix to milk and beat on lowest speed just until blended; about  30 seconds."", ""Blend in pumpkin, spice, and 2 cups of whipped topping."", ""Pour  into pie shell."", ""Chill until set; at least 4 hours."", ""Garnish with remaining  whipped topping."")",240
Praline Pumpkin Pie,,PT25M,PT1H15M,"A great choice when you can't decide whether to make pumpkin or pecan pie! I adore this pie. I think the praline layer adds a lovely new dimension to the traditiol pumpkin pie. The pumpkin layer is the best I've ever had also. Very light and tasty without being overly sweet. A few people weren't crazy about it though because they said there was something 'wrong' with having nuts in a pumpkin pie. LOL! That's okay, that just means more for me!! And yes, you can double the praline layer, I do. You will end up with a little too much filling, but the pie will turn out fine.","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/67/picFSmOSy.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/67/picUxqPHc.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/67/pick6FWqD.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/67/picCLsK8o.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/67/picMfRJ00.jpg""
)",Pie,"c(""Dessert"", ""Thanksgiving"", ""Oven"", ""< 4 Hours"")","c(""1/3"", ""1/3"", ""3"", ""1"", ""3"", ""1/2"", ""1/2"", ""2"", ""3/4"", ""1/2"", ""1/2"", ""1/4"", ""1"", ""1 1/2"", )","c(""pecans"", ""brown sugar"", ""butter"", ""eggs"", ""brown sugar"", ""sugar"", ""all-purpose flour"", ""ground cinmon"", ""salt"", ""ground ginger"", ""ground cloves"", ""pumpkin"", ""half-and-half cream"", ""pecans"")",4.5,12,439.9,23.1,,,,54.3,1.8,35.8,6.5,1,1,"c(""Combine the pecans, sugar and butter; press into the bottom of pie shell."", ""Prick sides of pastry with a fork."", ""Bake at 450°F for 10 minutes; cool for 5 minutes."", ""Combine first eight filling ingredients; stir in pumpkin."", ""Gradually add cream."", ""Pour into pie shell."", ""If desired, sprinkle chopped pecans on top."", ""Bake at 350°F for 45-50 minutes or until a knife inserted near the center comes out clean."", ""Cool completely."", ""Store in the refrigerator."")",50
Dijon-Lime Cranberry Salad,,PT5M,PT6M,Make and share this Dijon-Lime Cranberry Salad recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/68/nf8daPXTZSfYSKTmDSrg_THE%20FOOD%20GAYS%20-%20Cranberry%20Spich%20Salad.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/68/QoKWLHUeTreF445A9kKD_THE%20FOOD%20GAYS%20-%20Cranberry%20Spich%20Salad-2.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/68/qrpu8ucLTMqxhDcLBMcs_THE%20FOOD%20GAYS%20-%20Cranberry%20Spich%20Salad-3.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/68/piczqc0Au.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/68/pickR5l89.jpg"")",Low Protein,"c(""Low Cholesterol"", ""Healthy"", ""< 15 Mins"")","c(""1"", ""1/2"", , ""4"", ""1/2"", ""1/2"", ""2"")","c(""fresh spich"", ""dried craisin"", ""red onion"", ""bacon"", ""honey"", ""lime juice"", ""Dijon mustard"")",5,13,196,4.2,,,,40.8,2.2,35.7,3.7,4,1,"c(""Wash and dry spich."", ""Divide evenly among four salad plates."", ""Top each with approximately 2 tablespoons  craisins and onion slices."", ""Combine dressing ingredients in a small glass mixing bowl using a wire whisk."", ""Heat in the microwave on High for 1 minute or until warm."")",1
Ham Ball,,PT20M,PT20M,Make and share this Ham Ball recipe from Food.com.,character(0),< 30 Mins,"""Easy""","c(""8"", ""1/4"", ""2"", ""2"", ""1"", ""1/4"", ""1/4"", ""1/2"")","c(""cream cheese"", ""mayonise"", ""ham"", ""parsley"", ""onion"", ""dried mustard"", ""Tabasco sauce"", ""walnuts"")",4.63201371,0,2066.1,161.8,,,,33.1,4.4,13.1,124.8,1,1,"c(""Beat cream cheese with mayonise."", ""Add other ingredients and mix"", ""Put in the  refrigerator for 15 minutes."", ""Take it out, form it in a ball and roll it in  the chopped walnuts."", ""Serve with onion crackers."")",0
Rj's Rice Pudding,,PT15M,PT40M,I think that I've come up with a GREAT rice pudding recipe.  Anyone who has tasted my Rice Pudding says so anyway.,character(0),Dessert,"c(""White Rice"", ""Long Grain Rice"", ""Rice"", ""Low Protein"", ""Healthy"", ""< 60 Mins"", ""For Large Groups"")","c(""2"", ""4"", ""1"", ""4"", ""1"", ""3"", ""2"", ""1"", ""1/4"", )","c(""long grain rice"", ""water"", ""raisins"", ""milk"", ""sugar"", ""eggs"", ""cornstarch"", ""vanilla"", ""nutmeg"", ""cinmon"")",5,20,174.9,2.7,,,,33.7,0.5,14.4,4.1,20,1,"c(""Combine the raisins and rice and place in a strainer."", ""Wash the raisin and rice mixture under hot tap water."", ""In a pot with a tight fitting lid, bring 4 cups of water to a boil."", ""Add raw rice and raisins and stir."", ""Cover, reduce heat and simmer for 25 minutes (60 minutes if using brown rice)."", ""Meanwhile, in another pot combine the milk, sugar, egg yolks and corn starch."", ""Heat over medium high heat stirring mixture constantly to avoid burning until the mixture thickens to the consistency of  thick cream."", 
""Remove from heat, stir in the nutmeg and vanilla."", ""In a large bowl, beat the egg whites until they are stiff enough for form peaks."", ""Then slowly whisk in the thickened milk mixture. When the rice and raisin mixture is cooked, stir into the creamy custard mixture.  At this point, you can dish up the pudding in serving dishes and sprinkle lightly with cinmon or, you can bake the pudding mixture in a 350F oven for about 45 minutes and then serve sprinkled lightly with cinmon."")",25
Baked Fish Fillets,,PT5M,PT30M,Make and share this Baked Fish Fillets recipe from Food.com.,character(0),Perch,"c(""Very Low Carbs"", ""< 30 Mins"", ""Oven"", ""Easy"")","c(""1"", ""1"", ""3/4"", ""3/4"")","c(""haddock fillets"", ""sour cream"", ""cheddar cheese"")",4.63201371,0,663.7,40.5,,,,14.2,0.8,2.3,59.1,1,1,"c(""Preheat oven to 375F and lightly grease a 2 quart baking dish."", ""Arrange thawed and drained fillets in a single layer in  baking dish."", ""Combine sauce ingredients and heat until cheese melts."", ""Spread over fillets and bake 25 minutes."")",25
Apple Snicker Salad,,PT0S,PT0S,Make and share this Apple Snicker Salad recipe from Food.com.,character(0),Apple,"c(""Fruit"", ""Low Protein"", ""< 15 Mins"", ""Easy"")","c(""2"", ""2"", ""2"", ""1"")","c(""yellow apples"", ""red apples"", ""Cool Whip"")",4.5,6,1540.7,80.2,,,,202.2,16.1,166.5,14.7,1,1,"""Stir these into one 8 oz carton of Cool Whip""",0
Bayrischer Leberkaese,,PT0S,PT1H30M,Make and share this Bayrischer Leberkaese recipe from Food.com.,character(0),German,"c(""European"", ""Oven"", ""< 4 Hours"")","c(""6 1/2"", ""1"", ""9"", ""1"", ""2"", ""1"", ""1"", ""3"", ""6 1/4"", ""1"", ""1"")","c(""lean beef"", ""bacon"", ""onion"", ""salt"", ""white pepper"", ""marjoram"", ""garlic cloves"", ""water"", ""lemon, zest of"")",4.63201371,0,6676.2,466.6,,,,21.4,4,6.5,597.8,1,1,"c(""Put all meats through meat grinder."", ""DO THIS IN PORTIONS:  In large bowl, mix a portion of the meat with salt and water until you have a smooth thick mass."", ""When you have all meat mixed with the salt and water, mix the entire mass  very well."", ""Let rest in refrigerator for an hour."", ""Chop onion very  fine, then with the remainder of the ingredients mix into the meat mixture.  Put in well greased baking loaf form."", ""Push down and bake at 350F for 1 1/2 hours."")",90
Muesli Cookies,,PT0S,PT0S,Make and share this Muesli Cookies recipe from Food.com.,character(0),Drop Cookies,"c(""Dessert"", ""Cookie & Brownie"", ""< 15 Mins"", ""Oven"")","c(""250"", ""125"", ""125"", ""375"", ""500"", ""125"", ""10"", ""1/2"", ""250"")","c(""butter"", ""margarine"", ""brown sugar"", ""honey"", ""rolled oats"", ""whole wheat flour"", ""baking powder"", ""salt"", ""sultas"")",4.63201371,0,4435.4,216.9,,,,615.2,46.7,312.3,58.3,1,1,"c(""Cream butter, sugar and honey."", ""Combine the remaining ingredients and mix into the butter."", ""Place spoonfuls of the mixture on a greased baking sheet and bake at 1900C (3740F) for 15-20 minutes."", ""Cool on baking sheet so cookies become crisp."", ""These store very well in an airtight tin."")",0
Spiced Beer Cake,,PT0S,PT0S,Make and share this Spiced Beer Cake recipe from Food.com.,character(0),Dessert,"c(""Low Cholesterol"", ""Healthy"", ""< 15 Mins"", ""Oven"")","c(""850"", ""350"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"")","c(""wheat flour"", ""brown sugar"", ""cinmon"", ""ginger"", ""clove"", ""baking soda"", ""allspice"", ""salt"", ""dark beer"")",4.63201371,0,2816.9,8.6,,,,638.1,54.1,311.7,60.1,1,1,"c(""Dissolve sugar in beer."", ""Sift flour, spices and baking soda into beer and mix until smooth."", ""Pour into greased baking tin and bake at 1900C (3740F) for 45-60 minutes."", ""Slice thinly and serve with cold butter on top."", ""Also great for cake-mix:  Mix everything except beer and put into a plastic bag labeled \""Beer Cake: add 1 beer, bake\""."", "":-)   //Klaus"")",0
Chicken Dish,,PT0S,PT0S,Make and share this Chicken Dish recipe from Food.com.,character(0),Whole Chicken,"c(""Chicken"", ""Poultry"", ""Meat"", ""< 15 Mins"", ""For Large Groups"", ""Oven"")","c(""2"", ""1 1/2"", ""6"", ""3"", , , )","c(""chicken"", ""Worcestershire sauce"", ""dry mustard"", ""parsley"", ""ba"")",3,2,387.4,31.6,,,,2.8,0.1,0.7,22.5,16,1,"c(""Divide the chicken into serving pieces and on the base of a shallow greased oven dish."", ""Blend all the other together except the parsley and pour over the chicken."", ""Place in a moderate oven until the sauce is lightly browned about 20 minutes."", ""Served garnished with parsley and bas cooked in butter."")",0
Caramel Apple Pie With Crunchy Crumb Topping,,PT45M,PT1H40M,Make and share this Caramel Apple Pie With Crunchy Crumb Topping recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/77/Eph4JiKRWC1XOm1QEQeA_10154770827380788.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/77/cjiNfaf9Q5iw7SerAm4p_10154770827530788.jpg"")",Pie,"c(""Dessert"", ""Apple"", ""Fruit"", ""Low Protein"", ""Healthy"", ""Oven"", ""< 4 Hours"")","c(""1/4"", ""1/3"", ""2"", ""1/2"", ""6"", ""1"", ""1/2"", ""3"", ""1/2"", ""1"", ""28"", ""1"")","c(""all-purpose flour"", ""brown sugar"", ""butter"", ""margarine"", ""cinmon"", ""baking apples"", ""lemon juice"", ""sugar"", ""all-purpose flour"", ""cinmon"", ""evaporated milk"")",5,18,607.1,19.7,,,,105.5,4.6,72.4,6.9,1,1,"c(""Combine flour, brown sugar, butter and cinmon; spread into an ungreased 8-in. square baking pan."", ""Bake at 400 F for 6-8 minutes or until golden brown."", ""Cool; crumble and set aside. Sprinkle apples with lemon juice. Combine sugar, flour and cinmon; toss with apples."", ""Place apples in pie shell."", ""Cut a circle of foil to cover apples but not the edge of pastry; place over pie. Bake at 425 F for 10 minutes."", ""Reduce heat to 375 F; bake for 35 minutes or until apples are tender."", ""Meanwhile, in a saucepan over low heat, melt caramels with milk , stirring frequently."", 
""Remove foil from pie. Pour caramel mixture over apples."", ""Sprinkle with topping; return to the oven for 5 minutes."", ""Serve warm."")",55
Breakfast Sausage Rolls,,PT0S,PT0S,Make and share this Breakfast Sausage Rolls recipe from Food.com.,character(0),Breakfast,"c(""< 15 Mins"", ""Oven"")","c(""2"", ""1/2"", ""1/2"", ""1 1/2"", ""1/2"", ""3"", ""10"", ""1"", ""1"", ""1"", ""1"")","c(""mild sausage"", ""hot sausage"", ""mushrooms"", ""onion"", ""eggs"", ""mozzarella cheese"", ""dried basil"", ""dried parsley"", ""dried rosemary"", ""garlic powder"")",5,1,3848.5,310.2,,,,22.2,3.3,9.9,230.8,1,1,"c(""Allow dough to rise until nearly doubled."", ""Cook and crumble sausage. Add mushrooms and onions."", ""Cook and stir until sausage is brown and vegetables are tender."", ""Drain and cool."", ""Beat 1 egg and set aside. Add to sausage mixture 2 eggs, cheese and seasonings."", ""Roll each loaf of dough into a 16x12 inch rectangle. Spread each loaf with 1/2 sausage mixture, to within 1 inch of edges."", ""Roll up, starting at rrow end, seal edges."", ""Place on greased baking sheet. Bake at 350'F for 25 minutes; brush with beaten egg."", 
""Bake at 5-10 minutes longer or until golden brown."", ""Serve warm."")",0
Mom's Apple Crisp,,PT10M,PT45M,Make and share this Mom's Apple Crisp recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/79/picolSVgM.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/79/picvtypI6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/79/picFRBidY.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/79/pickEVdsr.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/79/picWM7uiV.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/79/picHMsN3k.jpg"")",Dessert,"c(""Apple"", ""Fruit"", ""Low Protein"", ""< 60 Mins"", ""Oven"", ""Easy"")","c(""3 -4"", ""1/2"", ""3/4"", ""1/2"", ""3/4"")","c(""apples"", ""flour"", ""brown sugar"", ""butter"")",5,58,561.6,24.4,,,,85.8,6,57.6,4.3,4,1,"c(""Peel apples and remove cores."", ""Slice apples into thin slices and put into lightly greased casserole dish."", ""Mix sugar and flour together."", ""Cut in butter until you have course crumbs."", ""Stir in oats and pour over apples."", ""Bake at 350°F for 35 minutes."")",35
Fresh Fruit Crisp,,PT0S,PT0S,Make and share this Fresh Fruit Crisp recipe from Food.com.,character(0),Dessert,"c(""Fruit"", ""Low Protein"", ""Healthy"", ""< 15 Mins"", ""Oven"")","c(""1/2"", ""1/2"", ""1/4"", ""1/2"", ""1/4"", ""2"", ""2"")","c(""brown sugar"", ""all-purpose flour"", ""cinmon"", ""butter"", ""apples"", ""sugar"")",4,1,415.9,12.6,,,,77.4,6.8,56.5,3.1,1,1,"c(""Combine all dry ingredients but the granulated sugar in a food processor."", ""Cut the butter in smallish pieces - no need to soften."", ""Blend in food processor until butter is in small pieces and is well mixed."", ""Peel, core and slice fruit to make 5-6 cups."", ""Place fruit in a 10x6x2 baking dish an sprinkle with granulated sugar."", ""Cover fruit with crumb mixture.  Bake at 350 for 40-45 minutes."", ""Serve warm with ice cream - it's great!! Enjoy!"")",0
Sausage Casserole (Overnight),,PT30M,PT1H5M,Make and share this Sausage Casserole (Overnight) recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/81/piceI5rcx.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/81/picehdkHJ.jpg"")",Pork,"c(""Meat"", ""Oven"", ""< 4 Hours"")","c(""6"", ""2"", ""1 1/2"", ""8"", ""2"", ""1"", )","c(""sausage"", ""eggs"", ""half-and-half"", ""salt"", ""butter"")",5,5,664.6,53.3,,,,15.5,0.5,1.4,29.3,8,1,"c(""Butter bread lightly."", ""Place bread into 13x9x2\"" baking dish, butter side up, set aside. Cook and drain sausage, crumble. Spoon over bread."", ""Sprinkle cheese over sausage. Combine eggs, half and half, and salt. Mix well and pour over cheese. Chill overnight."", ""Remove from refrigerator for 15 minutes before baking."", ""Bake uncovered at 350 F for 35 minute."")",35
Concord Grape Pie,,PT0S,PT35M,Make and share this Concord Grape Pie recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/82/eJfnDJW5QGGY1k4FdhQS_GrapePie3.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/82/piczTtolm.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/82/0mopsWYwTf6iPdOw6jhM_GrapePie1.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/82/5flDeOJ3Twi8G4XvFz5Q_GrapePie2.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/82/picnGPMnj.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/82/piclurGxx.jpg"")",Pie,"c(""Dessert"", ""Berries"", ""Grapes"", ""Fruit"", ""Low Protein"", ""< 60 Mins"", ""Oven"")","c(""4 1/2"", ""1"", ""1/4"", ""2"", ""1/8"", ""1"", ""1/2"", ""1/2"", ""1/4"", ""1/4"")","c(""concord grapes"", ""sugar"", ""all-purpose flour"", ""lemon juice"", ""salt"", ""quick-cooking oats"", ""brown sugar"", ""all-purpose flour"", ""butter"", ""margarine"")",5,6,396.2,13.8,,,,67.1,2,46.8,3.3,8,1,"c(""Squeeze the end of each grape opposite the stem to separate skins from pulp."", ""Set skins aside. Place pulp in a medium saucepan; bring to a boil."", ""Boil and stir for 1 minute. Press through a strainer or food mill to remove seeds."", ""Combine pulp, skins, sugar, flour, lemon juice and salt; pour into pastry shell."", ""Combine oats, brown sugar and flour; cut in butter until crumbly."", ""Sprinkle over filling."", ""Cover edges of pastry with foil."", ""Bake at 425°F for 15 minutes."", ""Remove foil; bake 20 minutes more or until golden brown."", 
""Cool on a wire rack."")",35
